Entidad,Municipio,Subdelegacion,Clues,Tipo,Nombre,Nivel,Situacion,Latitud,Longitud,Tipo Vialidad,Vialidad,Numero,Tipo Asentamiento,Asentamiento,CP,Direccion Completa,Nombre Completo
Aguascalientes,Aguascalientes,Aguascalientes,ASIST000016,Hospital General,Aguascalientes,Segundo Nivel,Propia,21.902,-102.3073,Avenida,Universidad Esquina San Cosme,410,Fraccionamiento,San Cayetano,20010,"Avenida Universidad Esquina San Cosme 410, Fraccionamiento San Cayetano, Aguascalientes, Aguascalientes, CP. 20010",HG Aguascalientes
Aguascalientes,Aguascalientes,Aguascalientes,ASIST000021,Clínica de Medicina Familiar,Aguascalientes,Primer Nivel,Propia,21.9013,-102.3078,Calle,San Cosme,S/N,Fraccionamiento,San Cayetano,20010,"Calle San Cosme S/N, Fraccionamiento San Cayetano, Aguascalientes, Aguascalientes, CP. 20010",CMF Aguascalientes
Aguascalientes,Calvillo,Aguascalientes,ASIST000050,Unidad de Medicina Familiar,Calvillo,Primer Nivel,Propia,21.8451,-102.7309,Calle,Galeana,S/N,Fraccionamiento,Independencia,20800,"Calle Galeana S/N, Fraccionamiento Independencia, Calvillo, Aguascalientes, CP. 20800",UMF Calvillo
Aguascalientes,Pabellón de Arteaga,Aguascalientes,ASIST000033,Unidad de Medicina Familiar,Pabellón de Arteaga,Primer Nivel,Propia,22.1409,-102.2778,Calle,Revolución,S/N,Fraccionamiento,Popular,20660,"Calle Revolución S/N, Fraccionamiento Popular, Pabellón de Arteaga, Aguascalientes, CP. 20660",UMF Pabellón de Arteaga
Aguascalientes,Rincón de Romos,Aguascalientes,ASIST000045,Unidad de Medicina Familiar,Rincón de Romos,Primer Nivel,Propia,22.2291,-102.3138,Calle,Plaza El Chaveño Delfino V. Araujo,S/N,Barrio,De Guadalupe,20400,"Calle Plaza El Chaveño Delfino V. Araujo S/N, Barrio De Guadalupe, Rincón de Romos, Aguascalientes, CP. 20400",UMF Rincón de Romos
Aguascalientes,Asientos,Aguascalientes,ASIST000074,Unidad de Medicina Familiar,Villa Juárez,Primer Nivel,Propia,22.088,-102.0736,Calle,Alameda,S/N,Colonia,La Sierra,20700,"Calle Alameda S/N, Colonia La Sierra, Asientos, Aguascalientes, CP. 20700",UMF Villa Juárez
Aguascalientes,San José de Gracia,Aguascalientes,ASIST000103,Consultorio de Atención Familiar,San José de Gracia,Primer Nivel,Convenio,22.1506,-102.4162,Calle,Juan Esteban,S/N,Colonia,Centro,20276,"Calle Juan Esteban S/N, Colonia Centro, San José de Gracia, Aguascalientes, CP. 20276",CAF San José de Gracia
Aguascalientes,Cosío,Aguascalientes,ASIST000115,Consultorio de Atención Familiar,Cosío,Primer Nivel,Convenio,22.3665,-102.3006,Calle,Guerrero,S/N,Colonia,Centro,20460,"Calle Guerrero S/N, Colonia Centro, Cosío, Aguascalientes, CP. 20460",CAF Cosío
Aguascalientes,El Llano,Aguascalientes,ASIST000120,Consultorio de Atención Familiar,Palo Alto,Primer Nivel,Convenio,21.9182,-101.9696,Calle,Constitución,S/N,Barrio,Del Salto,20330,"Calle Constitución S/N, Barrio Del Salto, El Llano, Aguascalientes, CP. 20330",CAF Palo Alto
Aguascalientes,San Francisco de los Romo,Aguascalientes,ASIST000131,Consultorio de Atención Familiar,San Francisco de los Romo,Primer Nivel,Convenio,22.0797,-102.2756,Calle,Independencia,S/N,Colonia,Centro,20300,"Calle Independencia S/N, Colonia Centro, San Francisco de los Romo, Aguascalientes, CP. 20300",CAF San Francisco de los Romo
